,Date,Open,High,Low,Close
0,2021-07-15 00:00:00,150.14683419506179,151.10030917325793,148.59648610138646,150.0238352622657
1,2021-07-16 00:00:00,148.83233806814113,151.59765587808351,145.91408056435128,147.28379547850133
2,2021-07-17 00:00:00,150.0403565757449,151.979293196538,148.10101630815814,151.39558184045083
3,2021-07-18 00:00:00,155.55767208209318,159.3170632187281,154.95938274781793,157.68435101773767
4,2021-07-19 00:00:00,156.63256707563903,157.980345909854,152.64252636016604,155.05208258504058
5,2021-07-20 00:00:00,154.85585622324882,155.4838347146099,150.5879729839637,155.39889218111094
6,2021-07-21 00:00:00,151.2361381226645,153.31336291678542,149.67094657536842,152.69619125148975
7,2021-07-22 00:00:00,151.88137438477827,153.67488967983,149.21382979336715,152.29351055155587
8,2021-07-23 00:00:00,148.32946141288636,148.94477633175453,147.37787103620562,147.406315051832
9,2021-07-24 00:00:00,152.82401733160637,154.9660864435752,151.70917972963875,153.05959151080657
10,2021-07-25 00:00:00,150.47690671905852,151.28726171734272,148.3642959273933,150.6306891407328
11,2021-07-26 00:00:00,148.51744819770497,150.1766357913317,145.42573044667475,147.58668168703457
12,2021-07-27 00:00:00,151.93639480325527,151.95237147537608,146.09005517045802,149.79908374961764
13,2021-07-28 00:00:00,156.26761493687502,158.84262552041235,155.15754485004058,157.42490762727707
