,Date,Open,High,Low,Close
759,2021-07-26,13.449999809265137,14.130000114440918,13.239999771118164,13.699999809265137
760,2021-07-27,13.489999771118164,13.649999618530273,12.539999961853027,12.729999542236328
761,2021-07-28,14.270000457763672,16.489999771118164,14.020000457763672,16.010000228881836
762,2021-07-29,16.610000610351562,16.670000076293945,15.279999732971191,15.420000076293945
763,2021-07-30,15.029999732971191,15.510000228881836,14.420000076293945,14.609999656677246
764,2021-08-02,14.65999984741211,15.25,14.4399995803833,14.609999656677246
765,2021-08-03,14.550000190734863,14.579999923706055,13.920000076293945,14.25
766,2021-08-04,14.109999656677246,14.569999694824219,13.880000114440918,13.960000038146973
767,2021-08-05,13.989999771118164,14.75,13.880000114440918,14.470000267028809
768,2021-08-06,14.539999961853027,14.640000343322754,14.100000381469727,14.420000076293945
