,Date,Open,High,Low,Close
0,2021-07-16,364.4694615733197,369.00072943743965,361.1656974011333,366.5669584287942
1,2021-07-19,361.16979739354144,361.82715040254334,358.9790306817724,359.2920603826305
2,2021-07-20,361.61650918647206,364.89296118643506,358.50037319792364,360.96316992782954
3,2021-07-21,366.23569201938847,368.21214321141264,361.2026932280722,364.6664167395386
4,2021-07-22,366.7114998440022,366.98981529726757,364.6696160450409,365.11399889997017
5,2021-07-23,368.7097033291145,371.9559956024999,362.87974548272103,366.3828642038962
6,2021-07-26,369.6591368460222,372.6581924543186,364.9758986690296,368.28965210432955
7,2021-07-27,363.3922122784404,367.99539163039157,361.27841209011876,363.85827888116245
8,2021-07-28,369.79515050184386,371.6842041378455,363.4155011682111,368.59394420889515
9,2021-07-29,371.6925539637736,371.9841920701102,368.5369283605807,370.8253641604612
