,Days,Open,High,Low,Close
0,1,1.8847591492946743,2.427329886059572,2.2816360731377388,2.492119947700397
1,2,3.709422565791052,3.673730313643522,3.205953650818649,3.895806319346212
2,3,4.349860469833165,4.601004801481744,3.939762122146612,4.534694093633439
3,4,4.942448717029609,6.132598677898724,5.168197250410022,5.152154224922812
4,5,5.416404661224865,6.6026222955350695,5.6384880060712135,5.7701878429101
5,6,6.07869841583846,6.846793445936658,6.08039136916923,6.189418964684858
6,7,6.819384673921989,7.3534607148561175,6.13132489148798,6.463840479520303
7,8,6.787622395274301,7.104401924172913,6.723643251189881,7.318259595331525
8,9,6.624596310871394,8.101923054581283,6.1731400623481765,7.477208812721936
9,10,7.6293474246732025,8.245127667286875,6.535858078755353,7.378627259580877
10,11,7.740221166585644,8.378659606626112,6.960990796882076,7.861599917349374
11,12,7.917225584923082,8.837520572173219,7.73114040869017,9.036110451500669
12,13,8.356221536373665,9.840260805186517,8.212413692841961,9.50559847316119
13,14,8.615952000259066,8.9685294932206,8.463606339623722,9.018516129136092
14,15,8.94820892092444,9.953645236255886,9.135050222709687,9.219960502940767
15,16,9.305329399833857,10.043665002243005,8.244565755334888,9.330318473423427
16,17,9.861437855385775,10.344424750286242,9.006928225524456,10.316213534389236
17,18,10.011507230213084,10.39457601995544,9.610240271561226,10.990273911613336
18,19,10.650138284915787,10.333638628435796,10.221920141755787,10.245282963914187
19,20,11.495752305451994,11.673534720519568,9.416967274008202,11.325427893597672
