,Days,Open,High,Low,Close
0,1,1.1434154123862605,1.2625290429286868,1.4514948362651119,1.7951626415072268
1,2,2.037029464658271,2.0472833886690136,2.251607051056781,2.291230452665243
2,3,2.807259355650536,2.61719549360179,2.830755674679351,2.8660206532179675
3,4,3.6436775069261573,2.925686201755142,3.549308809827202,3.3698319173329576
4,5,3.9820674604404633,3.6603940475836803,3.537175747806545,3.727556987049777
5,6,4.099457952778025,4.068611602982252,4.146252381917483,4.021039666795661
6,7,4.166258863661311,4.113152026959183,4.588682602155695,4.495068568467842
7,8,4.518681957420809,4.485777116606959,4.763027001820596,4.645565908878013
8,9,4.876616766938394,4.896581365662118,4.772854312177668,5.116485789062435
9,10,4.964070385460562,4.962266560219522,5.651259981754381,5.65122394781878
10,11,5.066560787464869,5.575782813131444,6.017476665180184,5.861945721977267
11,12,5.291943441315612,5.636643667760633,6.661530252004364,6.280018357918907
12,13,6.1017390117194505,5.904172811224136,6.407381065179729,6.268315719829423
13,14,6.774015081998377,6.2235758017750085,6.78262549873123,7.110652229301868
14,15,6.79366767509366,6.554868412700288,6.816998787121236,6.801625559478178
15,16,7.317402394818267,7.082761402247573,7.066235536210024,6.747786283314771
16,17,7.556861447343253,7.102537730106095,7.582377547571594,6.737823237358782
17,18,6.97688073511875,7.943604126734667,7.857719117362638,7.882261059678239
18,19,8.319053733012096,7.672115435660544,7.397429364560688,7.586617940853445
19,20,7.788797176796374,7.5360588730540155,7.809341610433706,8.29202639079233
