,Days,Open,High,Low,Close
0,1,2.2262194479676993,4.0238535627024135,3.590742248493746,4.368475429643884
1,2,5.510961225483244,6.945690496672421,5.146632494190569,6.991632513839517
2,3,7.0602921670601075,8.67407728553069,7.327545068546974,6.8337407189799775
3,4,8.025751043272306,8.311980045838022,7.501494528271304,8.5544831088586
4,5,12.773964237001804,9.194351951804808,10.944198403123,8.462465425373475
5,6,10.831094693665442,14.064515644936165,10.005491656156474,11.233250488820596
6,7,12.644603946361967,14.15709705567654,12.191929224975693,10.302775336234559
7,8,13.16126014196444,14.637966514553144,12.815815088535915,16.01439962442722
8,9,11.46077328179907,14.286128879965844,11.749322710517102,15.6391680307789
9,10,17.07557879864661,15.182490660730048,14.44848991743898,13.909210906768019
10,11,16.178324302941242,16.29345321745846,16.42883261670035,13.945413567098681
11,12,24.74650054232609,15.995416842837962,15.269567820056187,17.683637261417847
12,13,17.3121929301821,20.367625371739457,18.74484380421525,16.935321234845638
13,14,20.375994263854672,19.01252086169262,17.631168141229793,20.894472318626054
14,15,22.26142507557951,18.13283560622376,24.088986356408203,20.506846598667316
15,16,20.787884133335155,21.35209004747236,21.359273281031605,23.77837378739207
16,17,18.948501022825393,18.938608457287007,20.634500850102345,23.876398885807973
17,18,22.528549945275273,24.076644121271347,20.906081252591903,20.581313969949296
18,19,17.575672920736398,20.864868075136375,24.734377837067953,22.598488121134036
19,20,20.888871062250676,21.52685474077167,19.945073033895152,24.93410360143177
