,Days,Open,High,Low,Close
0,1,1.3870589018344504,1.5288094931645897,2.070653444600417,2.051250276920313
1,2,2.766968800753327,2.48368844930781,3.0992275280889676,3.111531878581893
2,3,3.1196989479893933,3.0208487721247805,3.853970096793296,3.946341644510734
3,4,4.185991027968035,4.083527024445353,4.768599649940799,4.402158246778506
4,5,4.663703394284214,3.9572699730495944,6.027679732287058,5.031752923202626
5,6,4.817413200385955,4.520388916456188,5.870509853529942,5.377493505847931
6,7,5.400732542643152,5.02503336677064,5.627089397587329,5.597960643736609
7,8,5.440462764246817,5.52068259239993,6.391512295597867,6.163845963573662
8,9,6.3259707298441095,4.996435976344653,6.9461718327420385,6.639525115906105
9,10,6.914185194562576,5.77741821734655,7.664247936732423,6.604657287950328
10,11,7.222911589711919,6.84074036971102,8.102203381773743,7.486309800739132
11,12,6.642371586572663,6.486197939158175,7.934965893567128,8.399662020741339
12,13,7.00412840478926,6.694307199258407,8.292922715641206,7.500650394611642
13,14,7.432053947672653,9.335578988525903,9.81218667637175,8.500533759551978
14,15,8.628484965267923,7.1599973549030125,9.984333061452679,10.1370307325997
15,16,9.228691281825402,8.73521311393273,9.128217302901552,9.432483924433388
16,17,8.81551080498314,8.782411839021544,10.144366955044848,9.138480629706889
17,18,9.477968423330806,8.09577116606383,9.899589097741103,10.912667858272828
18,19,9.77537565472243,9.571178882562588,10.7453928394198,11.40723379127163
19,20,10.274984485060726,9.86330016430424,11.061244167999252,10.49029697467961
