,Days,Open,High,Low,Close
0,1,1.2100212312681171,1.3888891768014775,1.8001024752270534,2.0446932546200025
1,2,2.126986963772746,2.1291681247775305,2.3325356868136313,2.54093537077577
2,3,2.9485975302787133,3.088213385329163,3.512783865935062,3.085120207761548
3,4,3.719042874439023,3.6726304726854795,3.9265063834240803,3.82554938864876
4,5,4.236798239480827,4.0436946666678235,4.77157989900836,4.2773434319122465
5,6,4.484662421231366,4.800307563393817,4.4337036731272175,5.913469849565254
6,7,5.65538578346946,5.118439497749242,5.637061671825304,5.5396269919515015
7,8,6.73349122064821,5.515341460533693,6.47399978631028,6.547802597674817
8,9,6.226502308041493,5.929752590177934,6.71201896144608,6.482196675335074
9,10,5.948690085780911,6.0597722319802,7.342221217004895,9.027940206060991
10,11,6.959786432741492,6.86685827460547,8.155356054616774,8.17808425583548
11,12,7.884175502561127,7.206762490752999,8.096262467832416,9.70978772279702
12,13,7.44802274172627,8.716230667095749,8.316051226351608,7.844852932178163
13,14,7.425206426466323,8.202995366100332,8.136630379592543,8.165238941735659
14,15,9.09504840146751,8.599921173038476,9.054039046949384,8.883143705107546
15,16,11.748881786719805,8.5840717295263,8.202753921941378,11.52388159242932
16,17,9.745261945947345,9.618765664623936,8.833586782567657,9.89066595291995
17,18,10.508949046547507,9.243260520581023,10.979950908664783,9.803772925985674
18,19,11.186606725798606,9.834976244403002,10.265673499069461,10.005437957478582
19,20,9.253978308912892,10.73281978406623,10.935494703200531,11.726278057377064
