,Days,Open,High,Low,Close
0,1,4.154285266841502,5.658411956248191,5.453776215862694,5.731726966329704
1,2,6.319914528879388,7.7135123983763725,7.019026227292838,7.945144248275287
2,3,9.178902724829614,11.829229920815745,8.563737536622893,11.10177587316924
3,4,12.219580340043601,12.896662084383236,12.061793450913388,13.34139404609739
4,5,12.596933897922744,13.634476504238116,12.590465739472512,15.59189532349499
5,6,15.081574541451959,16.063548418789708,14.697187851093206,16.373115921493625
6,7,14.375245496410257,17.251230578366208,17.33784257696043,17.969778570039345
7,8,17.395508715823276,20.130622840393347,16.376143229279638,17.727161819090366
8,9,19.220355482470065,20.132613381603658,18.102119890612716,18.37496165201293
9,10,21.354702271348806,23.757762319811818,19.869519131548365,20.78370236275957
10,11,23.3634169150673,25.325474468507934,22.533648442302763,21.448459364793596
11,12,21.077545864418614,24.828961869619896,23.632618674473576,26.03872505175305
12,13,25.267710346700987,27.52325313687806,27.08758520210943,27.100028421328393
13,14,28.52807325249219,26.40871144203869,28.150415214166426,29.132887991054773
14,15,29.70865292631882,31.66192959040895,28.816662258608776,31.33095115415207
15,16,30.527770470174264,32.29417396278135,28.42929652789324,31.383589323881406
16,17,28.84620617866491,33.91528807566708,29.260961116097672,35.15891269369259
17,18,37.382259224705344,37.599886555730336,34.03811008677231,35.01374362141848
18,19,36.82534082937569,38.846677938560546,31.22484056998968,34.50922640448475
19,20,39.10114540344633,36.779528800916694,36.95313271221676,33.25996245193508
