,Days,Open,High,Low,Close
0,1,0.9430084053788734,1.1700308491294544,1.0626409495898335,1.537463850322555
1,2,1.7425701960275513,1.948249012507569,1.5953094178627925,1.8753638247838909
2,3,2.431125837219853,2.382309507775074,2.058508786794051,2.1927605836576523
3,4,2.5222959823874276,2.996579294285782,2.5548071839008846,2.9459606095334054
4,5,2.774022502020734,3.2925161914913517,2.2703100915611554,2.840426566837115
5,6,3.3294164835708644,3.4909774222906704,2.9738771954469945,3.1451413387619325
6,7,3.4900925155036466,3.6331733017389034,3.2408476603475194,3.165307531197233
7,8,3.412183552095824,3.811477959059137,3.5046669847573124,3.6930568213202872
8,9,3.9280190280703233,4.189457489442572,3.6500638816945328,3.767299608241286
9,10,3.8413475978633285,4.545777471687404,3.461537140851687,4.093630597546227
10,11,4.270005569362007,4.722909371151247,3.8689738033347183,4.332722535079397
11,12,4.286105153089393,5.109661247275616,4.169835737536372,4.368948057642322
12,13,4.743496973697098,4.812715916716669,4.0148079777010235,4.589371535386289
13,14,5.138107176953912,4.995558102676361,4.2419297387055765,4.908336175560255
14,15,4.79757363240997,5.034118650146259,4.667466859605095,4.904269495356798
15,16,5.457973572055484,5.501723760640376,4.795729175394316,5.198808899201959
16,17,5.003784003165724,4.940124635660381,4.833844865642596,5.024119092762208
17,18,5.5038888946382185,6.073086791065914,4.860103279878137,5.8593862313575285
18,19,5.053015601026945,5.374873886577265,4.704988888742262,5.192716711718527
19,20,5.481289564911581,5.241270457956534,4.8441939208506,5.2896973736287345
