,Days,Open,High,Low,Close
0,1,1.3667970611066922,2.2919148909160247,2.1562301414215987,3.0739197719164677
1,2,3.6690895642760277,4.133694258862456,3.949860638037109,4.345755230280737
2,3,5.077195891495935,4.830264738065671,5.457754178690517,5.826797017995902
3,4,6.323299667971771,6.019007696517,6.314892851021023,6.261919508738171
4,5,6.657735699441534,7.033580643265023,7.26973425272296,7.084975623462927
5,6,7.4491786641015825,7.068023738624094,7.050267085669201,8.56104590830424
6,7,8.27222186322483,8.603541505801768,8.430604677231932,8.375416850507914
7,8,8.783121694063558,9.326994706075395,9.323830321390162,9.254302994805068
8,9,10.102093304195947,10.185864879861573,9.374454824905602,10.99486161412729
9,10,10.380247193335991,11.412769110967096,11.380606612856791,10.327856886089629
10,11,10.919198387256174,10.46756585819492,12.259771640352916,11.597290372481751
11,12,13.076080969481811,10.87114153541062,11.361048335011777,12.863333245335358
12,13,11.174558401512636,13.003847516237073,12.73309735769426,12.669360312006297
13,14,12.507659025331895,12.50987990790885,12.337134157740612,12.539546184626822
14,15,11.641709649903285,13.305920544865208,13.233500772746702,14.184319733893023
15,16,14.0530625202877,12.56427051537163,13.58647488904728,14.681108829156955
16,17,13.96291630006694,13.470896654222628,14.020919732742929,13.731341480852846
17,18,14.012329815788116,13.593262089180055,13.792818109698983,14.523788303674653
18,19,13.388237451080816,15.740716310986608,14.358354867984193,14.791911017809314
19,20,15.115502893955474,14.989713702449624,15.856264678446896,15.979961370012887
