,Days,Open,High,Low,Close
0,1,0.7430419952582927,0.8332807483936133,0.9945261169722607,1.0285643475526642
1,2,1.2449569327766858,1.3030529298147833,1.3494977422970655,1.3146761772362778
2,3,1.6088464539655833,1.4997050835113883,1.8385144586359916,1.6133524458856534
3,4,1.9126362890291133,1.7807230989360494,2.0027301935548216,1.9382448437860569
4,5,2.125434710872384,1.8818642098642686,1.9514765375590362,2.099926782900907
5,6,2.2802491716861137,2.2309853325025735,2.280482250408395,2.4384874385658026
6,7,2.368505202111908,2.5305825708742407,2.672489504615643,2.479636442333008
7,8,2.4774146009576348,2.6148617971782047,2.7560194347225195,2.6764792200786873
8,9,2.6746599921394636,2.729179407974915,2.9255633937378134,2.707863903289388
9,10,2.8319751063314076,2.9053936131635645,2.9662369033907243,3.0614064756873334
10,11,3.017582059230785,2.8289191629858523,3.3448465646491443,3.2924448946405094
11,12,3.319112581353134,3.1138344610216744,3.2082551356022493,3.01394152999166
12,13,3.2147687923106933,3.1732629458045185,3.478680013313466,3.6636707016743837
13,14,3.299556226386448,3.3266113041385226,3.5597755795955286,3.607983087633899
14,15,3.4623114939175803,3.1891544552855815,3.722515744787944,3.5638330846767308
15,16,3.4806024736791583,3.6640696164754454,3.8209844973443423,3.5017042783700694
16,17,3.7682178265109147,3.762531353906961,3.705000761910277,3.889907685458303
17,18,3.9648982581628065,3.8013503749638313,4.103724968354156,4.1377571772433095
18,19,3.8502003744167665,3.9263991799777984,3.9362540610217014,4.290379137934477
19,20,4.375621839545342,4.278769889070306,4.361492351703503,4.3232052407073445
