,Days,Open,High,Low,Close
0,1,1.0425993859113132,1.3142969632349477,1.8620897817714466,1.5808111549600223
1,2,2.576558533019621,3.043098902213099,2.724891247519502,2.662576080160895
2,3,3.155301816543927,3.453985496027618,3.8885809859748544,3.331709496386195
3,4,4.06426604251261,3.9188000766304985,3.50195789405865,4.507075720122147
4,5,4.519911801024261,4.225484980455052,4.006248472624749,4.694655296439888
5,6,4.9911491578863645,4.472269813257522,4.8358082184924465,5.75756201881323
6,7,4.486132872553313,5.206675683551784,5.89730781463446,5.445868404948694
7,8,5.313662209738932,5.256821472915564,5.41571646766485,5.250706010186436
8,9,5.8121893252746535,6.314576878532196,5.789594485905906,5.697766877792423
9,10,5.634120158874173,5.589121663456728,7.248990126556857,6.26554619387011
10,11,5.722083929106652,6.843368379967395,7.5424981721058115,8.216916337290002
11,12,6.4585390503659434,6.443604670156436,6.4293325487520026,7.129095750215749
12,13,6.806970383602055,7.26202215601716,7.685822056321281,7.40725820441679
13,14,8.015225136320982,6.871686251256587,8.746725465320834,8.024876993492658
14,15,6.849064245063196,8.197233641942619,7.683828897077551,7.355920034710311
15,16,8.67630938358451,7.12465621590822,6.941980268756548,8.04727382397049
16,17,8.16044591519016,9.216744385067368,7.418651234048621,8.845297965945957
17,18,8.427989312777886,9.990439101382297,11.558934619501677,10.406016591749031
18,19,9.118009713891794,9.113144186580021,7.87562981522629,8.560692781856742
19,20,7.49036903342861,8.919076899204214,10.210303442738383,9.95871365866736
