,Days,Open,High,Low,Close
0,1,1.4972633142166705,2.6091355106053316,2.845400349004524,3.4667130657758443
1,2,4.245098657875546,4.394182282140189,4.456071337016375,4.721703297107925
2,3,4.950293117071537,5.460936287226795,5.45183015583001,5.5790902642398565
3,4,6.275304581560196,6.651793700139388,5.994041674676182,6.603721689328174
4,5,7.351355247922152,6.999781826781358,7.5465089858155325,7.652411800767485
5,6,7.603230892177729,7.599821987828923,8.416796744648591,7.7814850549620145
6,7,8.636036431997013,8.676951620826884,9.431175124228911,8.86021704223334
7,8,9.15227931584501,9.334666559868019,9.82911964709504,10.470985662390278
8,9,10.790979332074215,10.778429287172365,10.614848129864832,10.852749565453989
9,10,10.627069553003924,10.829144813382642,12.014150626407599,12.574142728489203
10,11,10.966915793541512,11.122966500865909,10.94346176732912,10.27075512605039
11,12,10.788594486159266,11.026017081663726,12.998903976833244,12.65530389547078
12,13,12.949903276278539,12.796709802227493,12.081083810098457,12.967699450189237
13,14,11.083263224896355,13.011508538416024,13.017968230333803,12.01794016227115
14,15,12.015248628641126,13.514279868743532,12.802149410384647,13.102625923367166
15,16,14.264122443460396,14.394362924735807,12.913112178938682,12.625453321244546
16,17,14.43551176827315,14.300134480833009,13.202363981515928,14.530978753164526
17,18,14.799937006686942,12.271475255985628,13.502850803085067,15.227473277672965
18,19,15.635587526033541,15.889050130540578,15.07035154168559,16.478231297310174
19,20,14.17379888374888,14.544675591707305,14.840321981909053,14.867517559021492
