,Days,Open,High,Low,Close
0,1,0.8485295930173629,1.0512436715729994,1.1512150115311401,1.359596467739073
1,2,1.453936877841178,1.6683658831496802,1.8303814139009118,1.9145642163532037
2,3,2.207922404692744,2.1598458286765143,2.417626848897061,2.3111939071708827
3,4,2.722008574011277,2.5198628234795684,2.8644214723127726,2.6735005784117827
4,5,3.100203613137098,2.7973269093980133,3.0017904635493142,3.177366208827624
5,6,3.555134454681153,3.3066308153070145,3.6308490983027655,3.6084337240287088
6,7,3.602616018948388,3.4169598832721317,3.96114139504539,3.7338031670990044
7,8,3.7985443079194643,3.6693075557900494,3.698967666766488,3.8598063696888714
8,9,4.1141937342177854,3.6748406720877766,3.87591776057532,4.494500179153359
9,10,3.752598435082213,4.139181421054023,4.369008670355989,4.1122743143323826
10,11,3.9726092705291842,4.502825405397314,4.724716483843825,4.448117372200489
11,12,4.696734540570491,4.713735555662061,5.117260620606784,4.989637387859433
12,13,4.754338429251999,4.862656830237295,4.939285278242315,4.430087335231991
13,14,5.334372019544824,5.030606751098658,5.218129340748348,5.036444198500325
14,15,4.895937905056846,5.127720638665214,5.259283606573574,4.790030400558196
15,16,5.301529431646899,5.765919335923439,5.2474257799475135,5.354056401620087
16,17,5.361733370111379,4.85898025747482,5.438926478061766,5.737553832101016
17,18,5.051548073477233,5.3748968967555495,5.832723042737769,5.731538351115818
18,19,5.297941499459896,5.649471357363754,6.478634850766904,6.0174401287183095
19,20,5.63510837120137,5.995385590664985,5.942812426682578,5.789537728604113
