,Days,Open,High,Low,Close
0,1,0.8707474447467579,1.3162909842804478,1.388902632575652,1.7703711395536017
1,2,2.145876561606103,2.131057443031339,2.5275665679916943,2.545663835852905
2,3,2.780106041068973,2.8856438772151676,3.1482175779061743,3.054621432460586
3,4,3.4557201838690226,3.502889128183529,3.538037089230867,3.6693186277338694
4,5,3.785871447518707,4.215800970960876,4.377355901893777,4.166467894594562
5,6,4.042214884457036,4.753854693961787,4.844345123220268,5.088682087384067
6,7,5.00164097420981,4.740453902904796,5.268706338038132,5.104250145554562
7,8,4.99535236566991,5.708695200642873,5.558160890400698,4.842276962507842
8,9,5.655247366991346,5.250235877754927,5.507998388288933,5.757942671773491
9,10,5.9945081608035276,6.491456076254884,5.6668954140071115,5.8921162269330045
10,11,6.160961917852741,6.312697889475506,6.692700523486404,6.457473116561608
11,12,6.209493896369209,7.005488010919726,6.440580942197472,7.149395137810606
12,13,6.694699630216427,6.400695171007821,7.397166930617576,7.331571391643483
13,14,7.091262179508654,7.387319247675523,7.108807608783789,7.427696260941661
14,15,8.08876542955089,7.774956969402786,7.451986586007061,7.488160535640647
15,16,7.920393995849889,7.1844317708256025,8.604470964828534,7.646847458756447
16,17,8.086921615506169,7.665137530952732,8.227143623688852,8.366830711041443
17,18,9.158803931987908,8.35958334229661,8.423245304737511,8.552524682854122
18,19,8.60837899888941,8.886802429539864,8.477434000024978,9.165947115651587
19,20,8.942847139407135,8.727356492934163,9.460137659155532,9.759811376686649
